Size,mass,ct
#2,7.21,1
#3,4.31,1
1/10,2.84,3
1/100,0.0258,1
1/11,2.58,1
1/12,2.36,2
1/13,2.18,1
1/15,1.89,1
1/16,1.77,9
1/2,14.2,29
1/20,1.42,2
1/200,0.142,1
1/24,1.18,2
1/26,1.09,1
1/3,9.45,1
1/32,0.886,3
1/36,0.788,1
1/4,7.09,21
1/50,0.567,2
1/6,4.72,2
1/64,0.443,3
1/8,3.54,20
1/9,3.15,1
1/96,0.295,2
3/16,5.32,12
3/32,2.66,3
3/64,1.33,1
3/8,10.6,23
5/16,8.86,2
Median,7.09,NA
Std. Dev.,4.69,NA
